
19/11/16 03:32:15 AM | ERROR - 503 BD |  | response 200
19/11/16 06:52:17 PM | error loadView general | main/view | response 200
19/11/16 06:52:17 PM | error loadView general | main/view | response 200
19/11/16 06:52:17 PM | error loadView general | main/view | response 200
19/11/16 06:52:17 PM | error loadView general | main/view | response 200
19/11/16 06:52:17 PM | error loadView general | main/view | response 200
19/11/16 06:52:17 PM | error loadView general | main/view | response 200
19/11/16 06:52:18 PM | error loadView general | view | response 200
19/11/16 06:52:18 PM | error loadView general | main/view | response 200
19/11/16 06:52:18 PM | error loadView general | main/view | response 200
19/11/16 06:52:18 PM | error loadView general | main/view | response 200
19/11/16 06:52:18 PM | error loadView general | main/view | response 200
19/11/16 06:52:18 PM | error loadView general | main/view | response 200
19/11/16 06:52:18 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:20 PM | error loadView general | main/view | response 200
19/11/16 06:52:27 PM | error loadView general | view | response 200
19/11/16 06:52:39 PM | error loadView general | view | response 200
19/11/16 06:53:30 PM | error loadView general | view | response 200
19/11/16 06:53:35 PM | error loadView general | view | response 200
19/11/16 06:53:37 PM | error loadView general | view | response 200
19/11/16 06:53:40 PM | error loadView general | view | response 200
19/11/16 06:53:48 PM | error loadView general | view | response 200
19/11/16 06:54:46 PM | error loadView general | view | response 200
19/11/16 06:54:48 PM | error loadView general | view | response 200
19/11/16 06:54:53 PM | error loadView general | view | response 200
19/11/16 06:55:58 PM | error loadView general | view | response 200
19/11/16 07:02:07 PM | error loadView general | view | response 200
19/11/16 07:12:44 PM | error loadView general | view | response 200
19/11/16 07:13:04 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 07:22:13 PM | error loadView general | view | response 200
19/11/16 07:22:25 PM | error loadView general | view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:29:43 PM | error loadView general | main/view | response 200
19/11/16 07:30:37 PM | error loadView general | view | response 200
19/11/16 07:32:22 PM | error loadView general | view | response 200
19/11/16 07:33:20 PM | error loadView general | view | response 200
19/11/16 07:33:40 PM | error loadView general | view | response 200
19/11/16 07:40:38 PM | error loadView general | view | response 200
19/11/16 07:41:00 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 07:51:30 PM | error loadView general | main/view | response 200
19/11/16 08:04:04 PM | error loadView general | view | response 200
19/11/16 08:05:33 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:08:10 PM | error loadView general | view | response 200
19/11/16 08:12:56 PM | error loadView general | view | response 200
19/11/16 08:23:57 PM | error loadView general | view | response 200
19/11/16 08:24:52 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:25:29 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:26:09 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:36:30 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:37:45 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:39:48 PM | error loadView general | view | response 200
19/11/16 08:40:23 PM | error loadView general | view | response 200
19/11/16 08:40:48 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:43:32 PM | error loadView general | view | response 200
19/11/16 08:43:52 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:44:32 PM | error loadView general | view | response 200
19/11/16 08:44:44 PM | error loadView general | view | response 200
19/11/16 08:45:04 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:45:21 PM | error loadView general | view | response 200
19/11/16 08:45:36 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:46:07 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:47:40 PM | error loadView general | view | response 200
19/11/16 08:47:52 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:49:04 PM | error loadView general | view | response 200
19/11/16 08:49:22 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:49:46 PM | error loadView general | view | response 200
19/11/16 08:49:59 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
19/11/16 08:55:41 PM | error loadView general | view | response 200
19/11/16 08:56:36 PM | error loadView general | view | response 200
19/11/16 08:56:49 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
20/11/16 05:13:37 PM | error loadView general | main/view | response 200
20/11/16 05:13:37 PM | error loadView general | main/view | response 200
20/11/16 05:13:37 PM | error loadView general | main/view | response 200
20/11/16 05:13:37 PM | error loadView general | main/view | response 200
20/11/16 05:13:37 PM | error loadView general | main/view | response 200
20/11/16 05:13:37 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:09 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:30:12 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:52:54 PM | error loadView general | main/view | response 200
20/11/16 05:59:39 PM | error loadView general | view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:33 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:29:35 PM | error loadView general | main/view | response 200
20/11/16 07:33:48 PM | error loadView general | view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:42:24 PM | error loadView general | main/view | response 200
20/11/16 07:55:33 PM | error loadView general | view | response 200
20/11/16 08:17:25 PM | error loadView general | main/view | response 200
20/11/16 08:17:25 PM | error loadView general | main/view | response 200
20/11/16 08:17:25 PM | error loadView general | main/view | response 200
20/11/16 08:17:25 PM | error loadView general | main/view | response 200
20/11/16 08:17:25 PM | error loadView general | main/view | response 200
20/11/16 08:17:25 PM | error loadView general | main/view | response 200
20/11/16 08:17:25 PM | error loadView general | view | response 200
20/11/16 08:17:26 PM | error loadView general | main/view | response 200
20/11/16 08:17:26 PM | error loadView general | main/view | response 200
20/11/16 08:17:26 PM | error loadView general | main/view | response 200
20/11/16 08:17:26 PM | error loadView general | main/view | response 200
20/11/16 08:17:26 PM | error loadView general | main/view | response 200
20/11/16 08:17:26 PM | error loadView general | main/view | response 200
21/11/16 08:26:56 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 29 in file /home/jorge/projects/photoTourist_framework_v2_prettyurls/classes/email/email.class.singleton.php
 | contact | response 200
22/11/16 05:39:09 PM | error loadView general | view | response 200
22/11/16 05:39:15 PM | error loadView general | view | response 200
